author_id,author_name
292,Patrick Ness
293,Tahereh Mafi
294,Madeline Miller
295,Jane Carruth
296,Jamie McGuire
297,Dean Koontz
298,Hunter S. Thompson
299,Jay Asher
300,James Dashner
301,R.D. Ronald
302,Rebecca Yarros
303,Hanya Yanagihara
304,Alex Michaelides
305,Jeanne DuPrau
306,Anne Morrow Lindbergh
307,Agatha Christie
308,Ken Follett
309,Sherrilyn Kenyon
310,Gustave Flaubert
311,Jandy Nelson
312,Umberto Eco
313,Alan             Moore
314,Astrid Lindgren
315,C.S. Lewis
316,Juliet Marillier
317,Joseph Campbell
318,C.J. Roberts
319,Richard Dawkins
320,Samuel Beckett
321,Shari Lapena
322,Elie Wiesel
323,Arthur Miller
324,Anonymous
325,S.J. Watson
326,Niccolò Machiavelli
327,Terry Pratchett
328,Aravind Adiga
329,Frank McCourt
330,B.A. Paris
331,Ellery Lloyd
332,Thomas  Harris
333,Henry James
334,Tillie Cole
335,Jasper Fforde
336,Michael Pollan
337,Jonathan Swift
338,Ally Carter
339,Michael Cunningham
340,Suzanne Collins
341,Beatrice Sparks
342,Noelle W. Ihli
343,Patrick Rothfuss
344,Taylor  Adams
345,Caroline Kepnes
346,Thomas Pynchon
347,Charles Dickens
348,David Foster Wallace
349,Stephen        King
350,Miguel de Cervantes Saavedra
351,Harriet Beecher Stowe
352,Matt Haig
353,Alan Paton
354,Paullina Simons
355,Casey McQuiston
356,Sara Pascoe
357,Day Leitao
358,Tamora Pierce
359,Charlaine Harris
360,Diana Gabaldon
361,Lauren Kate
362,Julie Kagawa
363,Joseph Smith Jr.
364,Michael Chabon
365,Michael Ende
366,Cornelia Funke
367,Melissa Marr
368,Greg Mortenson
369,Wilson Rawls
370,Bill Bryson
371,Fredrik Backman
372,Lisa See
373,Rick Riordan
374,Ray Bradbury
375,Sophie Kinsella
376,Italo Calvino
377,Jeaniene Frost
378,Mark Z. Danielewski
379,S.E. Hinton
380,Simone Elkeles
381,Nathaniel Hawthorne
382,E.M. Forster
383,Robert James Waller
384,Tom Robbins
385,Kim Edwards
386,Helene Hanff
387,Kyle Keyes
388,Jamie Applegate Hunter
389,Garth Stein
390,Louisa May Alcott
391,David Ellis
392,Lucy Foley
393,Robyn Harding
394,Irvine Welsh
395,Willa Cather
396,Jon Stone
397,Lisa Jewell
398,W. Somerset Maugham
399,Frances Hodgson Burnett
400,Patrick Süskind
401,Sergio Cobo
402,Richard Yates
403,J.D. Salinger
404,Dan Simmons
405,Jane Austen
406,Jack London
407,Chris Van Allsburg
408,Robert M. Pirsig
409,Carl Sagan
410,Robert Louis Stevenson
411,Maggie O'Farrell
412,Freida McFadden
413,Henri Charrière
414,Virgil
415,A.S. Byatt
416,K.  Ritz
417,Maya Angelou
418,Sylvia Plath
419,L.M. Montgomery
420,Jack Kerouac
421,Norton Juster
422,Susanna Clarke
423,Salman Rushdie
424,Benjamin Alire Sáenz
425,Helen Keller
426,John Irving
427,Cecelia Ahern
428,Kristin Cashore
429,Laurie Halse Anderson
430,Mikhail Bulgakov
431,Scott O'Dell
432,Harlan Coben
433,Stephen Hawking
434,Alyson Noel
435,J.R. Ward
436,Jean-Paul Sartre
437,David Nicholls
438,Sun Tzu
439,Anthony Doerr
440,Karen M. McManus
441,Muriel Barbery
442,Robin Hobb
443,Wilkie Collins
444,E.L. James
445,Dashiell Hammett
446,Rachel Caine
447,Joseph Heller
448,Irving Stone
449,John Milton
450,Ocean Vuong
451,Albert Camus
452,James Joyce
453,Shirley Jackson
454,P.C. Cast
455,Ayn Rand
456,Ernest Hemingway
457,P.L. Travers
458,Yuval Noah Harari
459,Kristin Hannah
460,Sarah J. Maas
461,Rudyard Kipling
462,M.L. Rio
463,Iain Banks
464,John Grogan
465,Gregory Maguire
466,Pearl S. Buck
467,John Berendt
468,Daphne du Maurier
469,Louis de Bernières
470,Orson Scott Card
471,Evelyn Waugh
472,Barbara Sontheimer
473,Terry Goodkind
474,Anne Frank
475,Tennessee Williams
476,David Sedaris
477,Sangu Mandanna
478,Aleatha Romig
479,Ransom Riggs
480,William Styron
481,Christopher Moore
482,Richard  Adams
483,Veronica Roth
484,Arthur C. Clarke
485,Maurice Sendak
486,Markus Zusak
487,Michael Crichton
488,Andy Weir
489,Ernest Cline
490,John Boyne
491,Mary Doria Russell
492,William S. Burroughs
493,T.J. Klune
494,Gabriel García Márquez
495,Tara Westover
496,Junot Díaz
497,Kate DiCamillo
498,Sophocles
499,Clement Clarke Moore
500,Daniel Defoe
501,Jhumpa Lahiri
502,Eoin Colfer
503,Wally Lamb
504,Friedrich Nietzsche
505,Stieg Larsson
506,Sarah Dessen
507,Becca Fitzpatrick
508,E.L. Konigsburg
509,Ellen Raskin
510,Donna Tartt
511,Arthur Golden
512,Liane Moriarty
513,Peter S. Beagle
514,Dalton Trumbo
515,John Knowles
516,Philip Pullman
517,Kurt Vonnegut Jr.
518,Ellen Hopkins
519,Richard Wright
520,Holly  Jackson
521,Robert Munsch
522,Alexandre Dumas
523,Richelle Mead
524,Gillian Flynn
525,Caleb Carr
526,Winston Groom
527,James Patterson
528,L. Frank Baum
529,David Wroblewski
530,Aleksandr Solzhenitsyn
531,Rohinton Mistry
532,Voltaire
533,Jon Krakauer
534,Edith Wharton
535,Jung Chang
536,Tim LaHaye
537,Emily Dickinson
538,T.S. Eliot
539,Larry McMurtry
540,Mary Wollstonecraft Shelley
541,Brandon Mull
542,Vladimir Nabokov
543,Kate Morton
544,Max Nowaz
545,Kate Chopin
546,Thomas Mann
547,Janet Evanovich
548,Jennifer Lynn Barnes
549,Eric Carle
550,Kiersten Modglin
551,Nicholas Sparks
552,Art Spiegelman
553,Andrew Van Wey
554,Neal Stephenson
555,Dodie Smith
556,Lois Lowry
557,Yann Martel
558,Scott Westerfeld
559,Alice Oseman
560,Rick Yancey
561,Charles Frazier
562,Kelley Armstrong
563,Howard Zinn
564,Jonathan Stroud
565,Lynn Painter
566,Reduced Shakespeare Company
567,Erich Maria Remarque
568,Antoine de Saint-Exupéry
569,A.J. Finn
